央视频道,#genre#
山东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226209/1.m3u8
广东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225803/1.m3u8
江苏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225800/1.m3u8
浙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225798/1.m3u8
深圳卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225801/1.m3u8
湖北卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226206/1.m3u8
辽宁卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226201/1.m3u8
重庆卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226202/1.m3u8
黑龙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226010/1.m3u8
西藏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226212/1.m3u8
北京体育休闲,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226232/1.m3u8

浙江频道,#genre#
浙江公共新闻,http://hw-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影视,http://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江数码时代,http://hw-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生休闲,http://hw-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济生活,http://hw-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江频道,http://hw-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8

上海频道,#genre#
纪实人文,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8
第一财经,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226966/1.m3u8
乐游,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226580/1.m3u8
金色学堂,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226994/1.m3u8
都市剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226581/1.m3u8
哒啵电竞,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226951/1.m3u8
哒啵赛事,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226954/1.m3u8
游戏风云,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226579/1.m3u8

湖南IPTV,#genre#
CCTV1,http://39.134.240.3/PLTV/2/224/3221226134/index.m3u8
CCTV2,http://39.134.240.3/PLTV/2/224/3221225920/index.m3u8
CCTV3,http://39.134.240.3/PLTV/2/224/3221226180/index.m3u8
CCTV4,http://39.134.240.3/PLTV/2/224/3221225829/index.m3u8
CCTV5,http://39.134.240.3/PLTV/2/224/3221225827/index.m3u8
CCTV6,http://39.134.240.3/PLTV/2/224/3221226184/index.m3u8
CCTV6,http://39.134.240.3/PLTV/2/224/3221225825/index.m3u8
CCTV7,http://39.134.240.3/PLTV/2/224/3221225930/index.m3u8
CCTV8,http://39.134.240.3/PLTV/2/224/3221226186/index.m3u8
CCTV9,http://39.134.240.3/PLTV/2/224/3221225819/index.m3u8
CCTV10,http://39.134.240.3/PLTV/2/224/3221225817/index.m3u8
CCTV11,http://39.134.240.3/PLTV/2/224/3221225940/index.m3u8
CCTV12,http://39.134.240.3/PLTV/2/224/3221225942/index.m3u8
CCTV13,http://39.134.240.3/PLTV/2/224/3221225944/index.m3u8
CCTV14,http://39.134.240.3/PLTV/2/224/3221225813/index.m3u8
CCTV15,http://39.134.240.3/PLTV/2/224/3221225948/index.m3u8
CCTV17,http://39.134.242.92:80/180000001002/00000001000000000025000000024152/index.m3u8
CETV1,http://39.134.13.35:6610/180000001001/00000001000000000016000000007220/index.m3u8?
CGTN,http://39.134.240.3/PLTV/2/224/3221225950/index.m3u8
IPTV3+,http://39.134.13.35:6610/180000001001/00000001000000000008000000047432/index.m3u8?
IPTV5+,http://39.134.13.35:6610/180000001001/00000001000000000008000000047434/index.m3u8?
IPTV6+,http://39.134.13.35:6610/180000001001/00000001000000000008000000047435/index.m3u8?
IPTV8+,http://39.134.13.35:6610/180000001001/00000001000000000008000000047437/index.m3u8?
IPTV高清院线,http://39.134.240.3/PLTV/2/224/3221226334/index.m3u8
IPTV古装剧场,http://39.134.240.3/PLTV/2/224/3221226326/index.m3u8
IPTV家庭剧场,http://39.134.240.3/PLTV/2/224/3221226332/index.m3u8
IPTV经典剧场,http://39.134.240.3/PLTV/2/224/3221226328/index.m3u8
IPTV抗战剧场,http://39.134.240.3/PLTV/2/224/3221226330/index.m3u8
IPTV芒果互娱,http://39.134.13.35:6610/180000001001/00000001000000001025000000196970/index.m3u8?
安徽卫视,http://39.134.240.3/PLTV/2/224/3221225964/index.m3u8
北京卡酷,http://39.134.240.3/PLTV/2/224/3221225994/index.m3u8
北京卫视,http://39.134.240.3/PLTV/2/224/3221226204/index.m3u8
财富天下,http://39.134.240.3/PLTV/2/224/3221226366/index.m3u8
茶频道,http://39.134.240.3/PLTV/2/224/3221225773/index.m3u8
常德公共,http://39.134.13.35:6610/180000001001/00000001000000000014000000153735/index.m3u8?
常德综合,http://39.134.13.35:6610/180000001001/00000001000000000014000000153736/index.m3u8?
车迷,http://39.134.13.35:6610/180000001001/00000001000000000064000000308873/index.m3u8?
大美人,http://39.134.240.3/PLTV/2/224/3221226152/index.m3u8
电子体育,http://39.134.240.3/PLTV/2/224/3221226352/index.m3u8
东方卫视,http://39.134.240.3/PLTV/2/224/3221226208/index.m3u8
东南卫视,http://39.134.240.3/PLTV/2/224/3221225968/index.m3u8
甘肃卫视,http://39.134.240.3/PLTV/2/224/3221225779/index.m3u8
广东卫视,http://39.134.240.3/PLTV/2/224/3221225970/index.m3u8
广西卫视,http://39.134.240.3/PLTV/2/224/3221225978/index.m3u8
贵州卫视,http://39.134.240.3/PLTV/2/224/3221225990/index.m3u8
哈哈炫动,http://39.134.240.3/PLTV/2/224/3221226084/index.m3u8
海南卫视,http://39.134.240.3/PLTV/2/224/3221225992/index.m3u8
好吃厨房,http://39.134.13.35:6610/180000001001/00000001000000001001000000000032/index.m3u8?
河北卫视,http://39.134.240.3/PLTV/2/224/3221226070/index.m3u8
河南卫视,http://39.134.240.3/PLTV/2/224/3221226068/index.m3u8
黑龙江卫视,http://39.134.240.3/PLTV/2/224/3221225896/index.m3u8
湖北卫视,http://39.134.240.3/PLTV/2/224/3221225962/index.m3u8
湖南电视剧,http://39.134.240.3/PLTV/2/224/3221226138/index.m3u8
湖南电影,http://39.134.240.3/PLTV/2/224/3221226140/index.m3u8
湖南都市,http://39.134.240.3/PLTV/2/224/3221225902/index.m3u8
湖南公共,http://39.134.240.3/PLTV/2/224/3221226192/index.m3u8
湖南国际,http://39.134.240.3/PLTV/2/224/3221225914/index.m3u8
湖南教育,http://39.134.240.3/PLTV/2/224/3221226338/index.m3u8
湖南经视,http://39.134.240.3/PLTV/2/224/3221226036/index.m3u8
湖南快乐购,http://39.134.240.3/PLTV/2/224/3221225912/index.m3u8
湖南卫视,http://39.134.240.3/PLTV/2/224/3221226324/index.m3u8
湖南娱乐,http://39.134.240.3/PLTV/2/224/3221225513/index.m3u8
怀化新闻,http://39.134.13.35:6610/180000001001/00000001000000000016000000287147/index.m3u8?
环球旅游,http://39.134.13.35:6610/180000001001/00000001000000000064000000308870/index.m3u8?
吉林卫视,http://39.134.240.3/PLTV/2/224/3221226072/index.m3u8
家庭理财,http://39.134.240.3/PLTV/2/224/3221226364/index.m3u8
嘉佳卡通,http://39.134.242.92:80/180000001002/00000001000000000022000000381025/index.m3u8
健康,http://39.134.240.3/PLTV/2/224/3221226354/index.m3u8
江苏卫视,http://39.134.240.3/PLTV/2/224/3221226136/index.m3u8
江西卫视,http://39.134.240.3/PLTV/2/224/3221225972/index.m3u8
金鹰纪实,http://39.134.240.3/PLTV/2/224/3221225916/index.m3u8
金鹰卡通,http://39.134.240.3/PLTV/2/224/3221226142/index.m3u8
靓妆,http://39.134.13.35:6610/180000001001/00000001000000000064000000308865/index.m3u8?
卡酷动画,http://39.134.242.92:80/180000001002/00000000000000020000000000182277/index.m3u8
梨园,http://39.134.13.35:6610/180000001001/00000001000000000064000000308847/index.m3u8?
辽宁卫视,http://39.134.240.3/PLTV/2/224/3221225980/index.m3u8
浏阳,http://39.134.13.35:6610/180000001001/00000001000000001001000000000026/index.m3u8?
浏阳公共,http://39.134.13.35:6610/180000001001/00000001000000001001000000000071/index.m3u8?
浏阳新闻,http://39.134.13.35:6610/180000001001/00000001000000001001000000000070/index.m3u8?
南方卫视,http://39.134.240.3/PLTV/2/224/3221226082/index.m3u8
内蒙古卫视,http://39.134.240.3/PLTV/2/224/3221226074/index.m3u8
宁夏卫视,http://39.134.240.3/PLTV/2/224/3221226076/index.m3u8
青海卫视,http://39.134.240.3/PLTV/2/224/3221226080/index.m3u8
厦门卫视,http://39.134.242.92:80/180000001002/00000001000000000022000000381023/index.m3u8
山东教育,http://39.134.13.73:6610/180000001001/00000001000000000016000000007227/index.m3u8?
山东卫视,http://39.134.240.3/PLTV/2/224/3221225894/index.m3u8
山西卫视,http://39.134.240.3/PLTV/2/224/3221225775/index.m3u8
陕西卫视,http://39.134.240.3/PLTV/2/224/3221225984/index.m3u8
深圳卫视,http://39.134.240.3/PLTV/2/224/3221226210/index.m3u8
生活家,http://39.134.240.3/PLTV/2/224/3221226150/index.m3u8
四川卫视,http://39.134.240.3/PLTV/2/224/3221225982/index.m3u8
四海钓鱼,http://39.134.240.3/PLTV/2/224/3221226346/index.m3u8
体育,http://39.134.13.35:6610/180000001001/00000001000000000008000000047454/index.m3u8?
天津卫视,http://39.134.240.3/PLTV/2/224/3221226206/index.m3u8
天元围棋,http://39.134.240.3/PLTV/2/224/3221226342/index.m3u8
文物宝库,http://39.134.13.35:6610/180000001001/00000001000000000064000000308848/index.m3u8?
武术世界,http://39.134.13.35:6610/180000001001/00000001000000000064000000308859/index.m3u8?
西藏卫视,http://39.134.240.3/PLTV/2/224/3221225777/index.m3u8
先锋乒羽,http://39.134.240.3/PLTV/2/224/3221226006/index.m3u8
湘潭公共,http://39.134.240.3/PLTV/2/224/3221226174/index.m3u8
湘潭新闻,http://39.134.240.3/PLTV/2/224/3221226092/index.m3u8
湘西新闻,http://39.134.13.35:6610/180000001001/00000001000000001001000000000069/index.m3u8?
新疆卫视,http://39.134.240.3/PLTV/2/224/3221226078/index.m3u8
炫动卡通,http://39.134.242.92:80/180000001002/00000000000000020000000000182497/index.m3u8
优漫卡通,http://39.134.240.3/PLTV/2/224/3221226086/index.m3u8
优优宝贝,http://39.134.13.35:6610/180000001001/00000001000000000010000000040377/index.m3u8?
云南卫视,http://39.134.240.3/PLTV/2/224/3221225986/index.m3u8
长沙嘉丽购,http://39.134.240.3/PLTV/2/224/3221226176/index.m3u8
长沙经贸,http://39.134.242.92:80/180000001002/00000000000000020000000000182542/main.m3u8
长沙女性,http://39.134.240.3/PLTV/2/224/3221226158/index.m3u8
长沙新闻,http://39.134.240.3/PLTV/2/224/3221226154/index.m3u8
长沙影视,http://39.134.240.3/PLTV/2/224/3221226160/index.m3u8
长沙政法,http://39.134.240.3/PLTV/2/224/3221226156/index.m3u8
浙江卫视,http://39.134.240.3/PLTV/2/224/3221226148/index.m3u8
中国天气,http://39.134.240.3/PLTV/2/224/3221225809/index.m3u8
重庆卫视,http://39.134.240.3/PLTV/2/224/3221225966/index.m3u8
株洲公共,http://39.134.13.35:6610/180000001001/00000001000000000008000000047452/index.m3u8?
株洲新闻,http://39.134.13.35:6610/180000001001/00000001000000000008000000047451/index.m3u8?
株洲综合,http://39.134.240.3/PLTV/2/224/3221226170/index.m3u8

NewTV系列,#genre#
超级综艺,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226009/1.m3u8

超清频道,#genre#
欢笑剧场4K,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226582/1.m3u8
